a52dec 0.8.0-2
abseil-cpp 20250127.0-2
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
aha 0.5.1-3
alsa-card-profiles 1:1.4.1-1
alsa-lib 1.2.13-1
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
aom 3.12.0-1
appstream 1.0.4-1
appstream-qt 1.0.4-1
archlinux-appstream-data 20250317-1
archlinux-keyring 20250123-1
argon2 20190702-6
aribb24 1.0.3-4
at-spi2-core 2.56.0-1
atkmm 2.28.4-1
attica 6.12.0-1
attr 2.5.2-1
audit 4.0.3-1
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-3
ayatana-ido 0.10.4-1
baloo 6.12.0-1
baloo-widgets 24.12.3-1
base 3-2
base-devel 1-2
bash 5.2.037-2
bc 1.08.1-1
biber 1:2.20-1
binutils 2.44-1
bison 3.8.2-8
blas 3.12.1-2
bluedevil 1:6.3.3-1
bluez 5.80-1
bluez-libs 5.80-1
bluez-qt 6.12.0-1
bolt 0.9.8-1
boost-libs 1.87.0-3
brave-bin 1:1.76.80-1
breeze 6.3.3-1
breeze-gtk 6.3.3-1
breeze-icons 6.12.0-1
brotli 1.1.0-3
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.4-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.109-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
calibre 7.26.0-2
cantarell-fonts 1:0.303.1-2
cblas 3.12.1-2
cdparanoia 10.2-9
chmlib 0.40-8
cifs-utils 7.2-1
clinfo 3.0.23.01.25-1
clucene 2.3.3.4-15
cmatrix 2.0-3
colord-gtk 0.3.1-1
colord-gtk-common 0.3.1-1
composefs 1.0.7-1
containerd 2.0.4-1
convertlit 1.8-12
coreutils 9.6-4
cryptsetup 2.7.5-2
curl 8.12.1-1
darktable 2:5.0.1-2
dav1d 1.5.1-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dbus-units 36-4
dconf 0.40.0-3
ddcutil 2.2.0-1
debugedit 5.1-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.31-1
diffutils 3.11-2
discount 3.0.0.d-1
discover 6.3.3-1
djvulibre 3.5.28-6
dmidecode 3.6-1
docker 1:28.0.1-1
dolphin 24.12.3-1
dosfstools 4.2-5
double-conversion 3.3.1-1
drkonqi 6.3.3-1
duktape 2.7.0-7
dvisvgm 3.4.4-1
e2fsprogs 1.47.2-1
ebook-tools 0.2.2-8
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
egl-gbm 1.1.2-1
egl-wayland 4:1.1.18-1
egl-x11 1.0.0-1
eglexternalplatform 1.2-2
electron34 34.3.2-1
enchant 2.8.2-2
exiv2 0.28.5-1
expac 10-11
expat 2.7.0-1
faad2 2.11.2-1
fakeroot 1.37.1-1
ffcall 2.4-3
ffmpeg 2:7.1-7
ffmpeg4.4 4.4.5-3
fftw 3.3.10-7
file 5.46-3
filesystem 2024.11.21-1
findutils 4.10.0-2
firefox 136.0.2-1
flac 1.5.0-1
flatpak 1:1.16.0-1
flex 2.6.4-5
flickcurl 1.26-12
fontconfig 2:2.16.1-1
frameworkintegration 6.12.0-1
freeglut 3.6.0-1
freerdp2 2.11.7-3
freetype2 2.13.3-3
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
gawk 5.3.1-2
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-fortran 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gd 2.3.3-8
gdb 16.2-1
gdb-common 16.2-1
gdbm 1.24-2
gdk-pixbuf2 2.42.12-2
gettext 0.24-1
ghostscript 10.05.0-1
giflib 5.2.2-1
girara 0.4.5-1
git 2.49.0-1
glib-networking 1:2.80.1-1
glib2 2.84.0-1
glibc 2.41+r9+ga900dbaf70f0-1
glibmm 2.66.7-1
glslang 15.1.0-1
glu 9.0.3-2
gmic 3.5.3-2
gmp 6.3.0-2
gnulib-l10n 20241231-1
gnupg 2.4.7-1
gnutls 3.8.9-1
go 2:1.24.1-1
gobject-introspection-runtime 1.84.0-1
gperftools 2.16-1
gpgme 1.24.2-1
gpm 1.20.7.r38.ge82d1a6-6
graphene 1.10.8-2
graphicsmagick 1.3.45-3
graphite 1:1.3.14-4
grep 3.11-1
groff 1.23.0-7
grub 2:2.12.r226.g56ccc5ed-1
gsettings-desktop-schemas 47.1-1
gsettings-system-schemas 47.1-1
gsl 2.8-1
gsm 1.0.22-2
gspell 1.14.0-2
gssdp 1.6.3-2
gst-plugins-bad-libs 1.26.0-1
gst-plugins-base 1.26.0-1
gst-plugins-base-libs 1.26.0-1
gstreamer 1.26.0-1
gtest 1.16.0-2
gtk-update-icon-cache 1:4.16.12-1
gtk3 1:3.24.49-1
gtk4 1:4.16.12-1
gtkmm3 3.24.9-1
gtksourceview4 4.8.4-1
guile 3.0.10-1
gumbo-parser 0.13.0-1
gupnp 1:1.6.8-1
gupnp-igd 1.6.0-1
gzip 1.13-4
harfbuzz 10.4.0-1
harfbuzz-icu 10.4.0-1
hicolor-icon-theme 0.18-1
hidapi 0.14.0-3
highway 1.2.0-1
hunspell 1.7.2-2
hwdata 0.393-1
hwloc 2.12.0-1
hyphen 2.8.8-6
i2c-tools 4.4-2
iana-etc 20250213-1
icu 76.1-1
ijs 0.35-6
imagemagick 7.1.1.46-1
imath 3.1.12-3
inkscape 1.4-8
inxi 3.3.37.1-1
iproute2 6.13.0-1
iptables 1:1.8.11-1
iputils 20240905-1
iso-codes 4.17.0-1
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.4-2
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jq 1.7.1-2
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
jxrlib 0.2.4-2
kaccounts-integration 24.12.3-1
kactivitymanagerd 6.3.3-1
karchive 6.12.0-1
kauth 6.12.0-1
kbd 2.7.1-2
kbookmarks 6.12.0-1
kcmutils 6.12.0-1
kcodecs 6.12.0-1
kcolorscheme 6.12.0-1
kcompletion 6.12.0-1
kconfig 6.12.0-1
kconfigwidgets 6.12.0-1
kcoreaddons 6.12.0-1
kcrash 6.12.0-1
kdbusaddons 6.12.0-1
kde-cli-tools 6.3.3-1
kde-gtk-config 6.3.3-1
kdeclarative 6.12.0-1
kdecoration 6.3.3-1
kded 6.12.0-1
kdeplasma-addons 6.3.3-1
kdesu 6.12.0-1
kdnssd 6.12.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keyutils 1.6.3-3
kfilemetadata 6.12.0-1
kgamma 6.3.3-1
kglobalaccel 6.12.0-1
kglobalacceld 6.3.3-1
kguiaddons 6.12.0-1
kholidays 1:6.12.0-1
ki18n 6.12.0-1
kiconthemes 6.12.0-1
kidletime 6.12.0-1
kinfocenter 6.3.3-1
kio 6.12.0-1
kio-extras 24.12.3-1
kio-fuse 5.1.0-3
kirigami 6.12.0-1
kirigami-addons 1.7.0-1
kitemmodels 6.12.0-1
kitemviews 6.12.0-1
kjobwidgets 6.12.0-1
kmenuedit 6.3.3-1
kmod 34.1-1
knewstuff 6.12.0-1
knotifications 6.12.0-1
knotifyconfig 6.12.0-1
konsole 24.12.3-1
kpackage 6.12.0-1
kparts 6.12.0-1
kpipewire 6.3.3-1
kpty 6.12.0-1
kquickcharts 6.12.0-1
krb5 1.21.3-1
krdp 6.3.3-1
krunner 6.12.0-1
kscreen 6.3.3-1
kscreenlocker 6.3.3-1
kservice 6.12.0-1
ksshaskpass 6.3.3-1
kstatusnotifieritem 6.12.0-1
ksvg 6.12.0-1
ksystemstats 6.3.3-1
ktexteditor 6.12.0-1
ktextwidgets 6.12.0-1
kunitconversion 6.12.0-1
kuserfeedback 6.12.0-1
kwallet 6.12.0-1
kwallet-pam 6.3.3-1
kwayland 6.3.3-1
kwidgetsaddons 6.12.0-1
kwin 6.3.3.1-1
kwindowsystem 6.12.0-1
kwrited 6.3.3-1
kxmlgui 6.12.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
layer-shell-qt 6.3.3-1
lcms2 2.17-1
ldb 2:4.22.0-1
leancrypto 1.2.0-2
lensfun 1:0.3.4-5
leptonica 1.85.0-2
less 1:668-1
lib2geom 1.4-2
lib32-alsa-lib 1.2.13-1
lib32-alsa-plugins 1.2.12-1
lib32-amdvlk 2025.Q1.3-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.12.1-1
lib32-e2fsprogs 1.47.2-1
lib32-expat 2.7.0-1
lib32-gcc-libs 14.2.1+r753+g1cd744a6828f-1
lib32-glibc 2.41+r9+ga900dbaf70f0-1
lib32-icu 76.1-1
lib32-json-c 0.18-1
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libdrm 2.4.124-1
lib32-libelf 0.192-2
lib32-libffi 3.4.7-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.51-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.9-1
lib32-libnghttp2 1.65.0-1
lib32-libnghttp3 1.8.0-1
lib32-libpciaccess 0.18.1-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.20.0-1
lib32-libunistring 1.3-1
lib32-libx11 1.8.11-1
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.38-1
lib32-libxcrypt-compat 4.4.38-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxml2 2.13.6-2
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:19.1.7-1
lib32-lm_sensors 1:3.6.0.r41.g31d1f125-3
lib32-mesa 1:25.0.1-2
